,Team ID,Game ID,isHome,didWin,Self Team Score,Opp Team Score,Prev Games,Prev ORtg,Prev DRtg,New ORtg,New DRtg,KRACH,WinPct,RPI,OWP,OOWP,SOS
0,139.0,401170101.0,1.0,1.0,89.0,67.0,0.0,0.0,0.0,136.17170349627182,102.51128240730577,574,0.7419354838709677,0.5869801522113095,0.5435175303006227,0.5275522149106596,184.2709726510991
1,526.0,401170347.0,1.0,0.0,61.0,65.0,1.0,102.51128240730577,136.17170349627182,96.64549292391766,116.45208718776232,15,0.3125,0.4290815988113421,0.489587681521179,0.4704843655363435,50.829595193600426
2,159.0,401170353.0,1.0,1.0,55.0,49.0,1.0,93.49047623059231,86.61617650775464,88.31476000022076,80.34275320590106,49,0.4137931034482759,0.4563559759459777,0.4744735488242911,0.4836196632781858,67.67134225224729
3,2382.0,401170359.0,1.0,1.0,84.0,68.0,2.0,96.8973808714982,107.64193053685673,101.30216901658069,101.4739802025819,61,0.53125,0.4691007621046339,0.4397456185926709,0.4969118112331937,65.36802928192179
4,526.0,401170371.0,1.0,1.0,72.0,70.0,4.0,89.12459882147873,106.53874086302989,90.01984729398905,103.43115625398535,15,0.3125,0.4290815988113421,0.489587681521179,0.4704843655363435,50.829595193600426
5,2670.0,401170144.0,1.0,1.0,78.0,48.0,4.0,105.48972311480371,89.94307593631012,106.65999632069176,85.65797941295503,337,0.5806451612903226,0.5452611099296933,0.5383833074600594,0.5236326635083319,197.3390349018355
6,526.0,401170388.0,1.0,0.0,63.0,78.0,6.0,86.43613829824665,104.74947840236177,87.66685833696259,106.59704028230135,15,0.3125,0.4290815988113421,0.489587681521179,0.4704843655363435,50.829595193600426
7,526.0,401170392.0,1.0,0.0,46.0,51.0,7.0,87.66685833696259,106.59704028230135,86.05253174253866,103.6320964553292,15,0.3125,0.4290815988113421,0.489587681521179,0.4704843655363435,50.829595193600426
8,526.0,401170393.0,1.0,0.0,57.0,72.0,8.0,86.05253174253862,103.6320964553292,85.4449610805584,103.42750970785518,15,0.3125,0.4290815988113421,0.489587681521179,0.4704843655363435,50.829595193600426
9,2229.0,401170401.0,1.0,1.0,71.0,53.0,6.0,105.91598131487163,96.46653427874573,104.279616314672,92.75895210736384,95,0.59375,0.483543183879085,0.44235655912640004,0.4977354793325058,80.66169702823832
10,526.0,401170407.0,1.0,0.0,59.0,64.0,10.0,83.95181088040978,102.53090136841708,84.75286202431913,102.35760818031507,15,0.3125,0.4290815988113421,0.489587681521179,0.4704843655363435,50.829595193600426
11,2571.0,401170420.0,1.0,1.0,75.0,56.0,11.0,102.82525813075192,103.22887778714502,104.35317321841283,102.16533063180543,130,0.6875,0.4977673708232343,0.4137042198893992,0.4969943768474721,54.46755726131626
12,30.0,401170431.0,1.0,1.0,71.0,58.0,12.0,105.0485573855706,95.25598934414838,104.82087796837412,94.34371502601444,850,0.7096774193548387,0.5831815744549058,0.5439304894764665,0.5351878995118514,309.0283115942495
13,526.0,401170433.0,1.0,0.0,46.0,59.0,13.0,85.0880167229991,103.78328108678193,84.89905434773847,103.92315551954546,15,0.3125,0.4290815988113421,0.489587681521179,0.4704843655363435,50.829595193600426
14,526.0,401170437.0,1.0,1.0,68.0,61.0,14.0,84.89905434773847,103.92315551954545,86.0702609334911,103.12288274096369,15,0.3125,0.4290815988113421,0.489587681521179,0.4704843655363435,50.829595193600426
15,2454.0,401170443.0,1.0,1.0,89.0,74.0,15.0,106.14607096498509,109.16233052642343,107.65070783940918,109.10674899122357,72,0.6363636363636364,0.5335867189122113,0.510375212271764,0.5006932252988658,59.96593241542086
16,56.0,401170448.0,1.0,0.0,62.0,66.0,15.0,97.8503804329475,110.42175713247404,97.94459073722791,110.13089246279787,29,0.4848484848484849,0.4506545948232327,0.4397442510792978,0.4715169739085286,41.69996926928198
17,526.0,401170449.0,1.0,1.0,73.0,51.0,17.0,88.53499190489691,104.4953674924506,89.09997783570982,102.52107513680916,15,0.3125,0.4290815988113421,0.489587681521179,0.4704843655363435,50.829595193600426
18,2453.0,401170454.0,1.0,1.0,70.0,65.0,16.0,93.93958278363199,102.43396704146286,94.33835087090145,101.90987790235901,21,0.43333333333333335,0.438965031060942,0.4434330325876488,0.4761369162113275,40.89774512363656
19,526.0,401170461.0,1.0,0.0,54.0,56.0,19.0,89.33284487997233,102.42621014367249,89.87794137932663,102.50225833329928,15,0.3125,0.4290815988113421,0.489587681521179,0.4704843655363435,50.829595193600426
20,294.0,401170466.0,1.0,0.0,61.0,63.0,20.0,95.38246614982245,96.81525736336495,95.52385084955928,97.04196823457913,26,0.4375,0.44900555001372977,0.4589326295216438,0.4781569410116314,43.2406929869631
21,2335.0,401170471.0,1.0,1.0,61.0,46.0,21.0,109.53988806395746,88.83952612255561,109.54620602360256,88.56085066251612,315,0.8823529411764706,0.5610218562578536,0.4411711136511179,0.4867451977291789,31.7710023631453
22,526.0,401170473.0,1.0,0.0,62.0,65.0,22.0,90.08380360214008,102.63979975847414,90.9067961128932,103.14621872950474,15,0.3125,0.4290815988113421,0.489587681521179,0.4704843655363435,50.829595193600426
23,526.0,401170477.0,1.0,0.0,60.0,69.0,23.0,90.9067961128932,103.14621872950474,91.07028890330794,103.39242697182846,15,0.3125,0.4290815988113421,0.489587681521179,0.4704843655363435,50.829595193600426
24,338.0,401170481.0,1.0,0.0,58.0,70.0,23.0,83.01884251441341,113.60275535489737,83.45097981690168,113.5656503503034,2,0.03448275862068965,0.3834270735218279,0.5146135459022794,0.4699984436620633,65.360691393737
