,TeamName,Team ID,WinPct,RPI,OWP,OOWP,SOS,KRACH
0,Florida Gulf Coast Eagles,526,0.3125,0.42908159881134206,0.48958768152117904,0.4704843655363435,50.829595193600426,15.518771802634143
1,Jacksonville Dolphins,294,0.4375,0.44900555001372977,0.45893262952164376,0.4781569410116314,43.2406929869631,26.904201659817698
2,Kennesaw State Owls,338,0.034482758620689655,0.3834270735218279,0.5146135459022794,0.4699984436620633,65.360691393737,2.590737301769577
3,Liberty Flames,2335,0.8823529411764706,0.5610218562578536,0.4411711136511179,0.48674519772917885,31.7710023631453,315.3045343497797
4,Lipscomb Bisons,288,0.5,0.4826946614952724,0.488445087208419,0.48722180489758493,46.15792229179579,34.14167179548774
5,North Alabama Lions,2453,0.43333333333333335,0.43896503106094203,0.4434330325876488,0.47613691621132753,40.897745123636554,21.69483057456284
6,North Florida Ospreys,2454,0.6363636363636364,0.5335867189122113,0.510375212271764,0.5006932252988658,59.96593241542086,72.51603771537225
7,Stetson Hatters,56,0.48484848484848486,0.45065459482323267,0.4397442510792978,0.4715169739085286,41.69996926928198,29.056171888648944
8,Albany Great Danes,399,0.4375,0.4479438983698973,0.44598034690410054,0.4804600609617106,48.951870335013574,31.589965018940738
9,Binghamton Bearcats,2066,0.3448275862068966,0.4244218513164062,0.465464616484024,0.4704618760012806,55.25198182315147,15.313614631393094
10,Hartford Hawks,42,0.5454545454545454,0.4688688385583573,0.4415888336326389,0.4761686547100869,44.952075846851955,44.296867687724514
11,Maine Black Bears,311,0.2903225806451613,0.4199597578279158,0.46342077773403584,0.48633080917692467,65.85173793030032,17.88281978488909
12,NJIT Highlanders,2885,0.3,0.4134040748535038,0.44547105297320816,0.4868121245020816,48.644890683723546,16.05004086385406
13,New Hampshire Wildcats,160,0.5,0.4434934767819627,0.41737431604762265,0.47493956074689103,43.685402419840386,38.59124015010249
14,Stony Brook Seawolves,2619,0.6060606060606061,0.5323702643093404,0.5293626854750325,0.4770056862872966,60.349070713864826,75.99124670009942
15,UMBC Retrievers,2378,0.48484848484848486,0.4668933954137577,0.48224460093027505,0.4892912763462048,57.95313838814753,39.45112334779704
16,UMass Lowell River Hawks,2349,0.40625,0.4470247341788437,0.4626000580651582,0.4758020463915099,50.4882278941708,31.216523203455957
17,Vermont Catamounts,261,0.7878787878787878,0.5724263268024997,0.5076726994031575,0.4931099084036839,57.274805035856865,239.7258218509004
18,Cincinnati Bearcats,2132,0.6666666666666666,0.5879162950491783,0.5798724315575768,0.525253650414893,288.153498745792,581.3202528785596
19,East Carolina Pirates,151,0.3548387096774194,0.45969527226523976,0.49445103160342313,0.4950403161766933,136.43944125639405,70.99806992041965
20,Houston Cougars,248,0.7419354838709677,0.5852290111903407,0.5308194069248018,0.5373417470407912,251.7222759313655,1214.8321403641428
21,Memphis Tigers,235,0.6774193548387096,0.5733360767578561,0.5497580124655347,0.5164089272616454,221.7128579699058,565.258976403773
22,SMU Mustangs,2567,0.6333333333333333,0.5400077121215378,0.5066711592803386,0.5133551965921405,168.7300970610609,361.5883684146276
23,South Florida Bulls,58,0.45161290322580644,0.5117423297994758,0.5408922462225322,0.5135719235270323,227.35560293514067,207.6308212638113
24,Temple Owls,218,0.45161290322580644,0.5265313629160479,0.5625694260524627,0.5293736963334594,282.08214182212487,262.95852762157
25,Tulane Green Wave,2655,0.4,0.4910617673319039,0.5250250454748205,0.5141969783779743,175.9959483247783,122.68778882813379
26,Tulsa Golden Hurricane,202,0.6774193548387096,0.5436217078251983,0.48780048725358327,0.5214665019549171,163.25485218809945,463.95016447782666
27,UCF Knights,2116,0.5333333333333333,0.5318423361012051,0.5408359938170839,0.5123640234373193,198.19593748146517,224.50429644470935
28,Wichita State Shockers,2724,0.7419354838709677,0.5906013675427175,0.5448837638075681,0.5307024586847664,233.36195743665132,857.5656457470915
29,Davidson Wildcats,2166,0.5333333333333333,0.5318272883924156,0.5335362439747868,0.5269033322867553,189.72768027371484,245.13912826893025
30,Dayton Flyers,2168,0.9354838709677419,0.6489900226644356,0.5634250869686075,0.5336260457527854,197.99228045143406,3503.8032572694897
31,Duquesne Dukes,2184,0.7,0.5614303909738286,0.5134823454632131,0.5187568729688882,140.84728151129062,300.531029326086
32,Fordham Rams,2230,0.2903225806451613,0.4432217319703778,0.48888330949732506,0.5047977282416998,104.04836772978403,45.52812473383172
33,George Mason Patriots,2244,0.53125,0.5184679197788871,0.515797365408044,0.5110269482994605,140.34084741886667,156.35060199940392
34,George Washington Colonials,45,0.375,0.48723132189990537,0.532933675353672,0.5080579368922774,127.90556787096065,66.36321333465487
35,La Salle Explorers,2325,0.5,0.5247330372683112,0.5422959112818957,0.5143403265094537,147.62222506736364,142.20681419439984
36,Rhode Island Rams,227,0.7,0.5929823979156361,0.567625091688273,0.5366794082859982,223.59529137624406,532.9192267124516
37,Richmond Spiders,257,0.7741935483870968,0.6003617178508108,0.5480983596389603,0.531056603738226,172.06350224458367,568.0248888581663
38,Saint Joseph's Hawks,2603,0.1875,0.4697007781480663,0.584232977117432,0.5228371583574011,241.1234900623623,47.50935298588809
39,Saint Louis Billikens,139,0.7419354838709677,0.5869801522113095,0.5435175303006227,0.5275522149106596,184.27097265109907,574.0359495209118
40,St. Bonaventure Bonnies,179,0.6129032258064516,0.5503659876123405,0.5412533076139862,0.5189573352213895,142.04526094126004,209.96536541679896
41,UMass Minutemen,113,0.45161290322580644,0.5206510836987198,0.5556227216578996,0.5197459882532734,212.2187854930882,185.34895910662593
