Game ID,Home Team ID,Away Team ID,Home Team Score,Away Team Score,Home Team # Previous Games,Home Team Previous ORtg,Home Team Previous DRtg,Away Team # Previous Games,Away Team Previous ORtg,Away Team Previous DRtg,Home Team New ORtg,Home Team New DRtg,Away Team New ORtg,Away Team New DRtg
401168268,84,87,62,60,11,115.79076366546907,95.26822148181995,11,108.75824889386458,91.66361432136813,114.40606864652716,95.32714039904727,107.69299886008817,107.95959677255637
401168282,87,2010,82,56,12,107.69299886008818,92.28951508110129,10,94.90090630457695,113.89621738261519,108.18808824057184,91.18584976075114,93.35917536021083,96.64892944110414
401168534,183,87,87,88,13,110.35634092006752,98.10554232188181,13,108.18808824057186,91.18584976075114,111.76236002074403,100.49338415356956,109.85574822092461,109.74898253264091
401168538,87,183,82,84,17,109.13444810100513,96.45518886964757,18,110.56932676164674,99.11992955220929,109.9190729562862,98.11123286311526,111.39536118219512,111.23713564240556
401168569,87,154,90,80,19,110.06226967908134,98.94647117645911,19,102.48247641469472,103.32814278649735,110.84485922439333,99.58643919920598,102.9456441755298,103.64405562322602
401168570,87,221,80,72,21,111.6084995240064,100.2819980451791,22,102.18047811272974,96.75636904786818,112.06494279188655,100.70032660110878,102.4980758589429,103.02698999554018
401168483,258,87,50,49,22,95.20402939099375,86.77551013084789,23,111.46637063558659,100.31561791939863,94.49529564970342,86.36462231100624,110.04381728720757,110.109569914992
401168574,154,87,84,73,27,103.16364856821332,104.06880578684206,28,109.28573243323194,100.89146109692369,103.83908138191391,104.14097897161624,109.17552286520734,109.72676812008014
401168556,87,259,64,56,30,109.13864483478253,101.93833541088921,30,104.15562139718577,99.34939986875484,108.75493584753673,101.39478291219577,103.54054354409567,103.93265510147536
401168167,221,2447,70,75,1,99.59091084278973,96.42929462555831,1,90.25553817042616,100.57045681847487,100.50438435826405,102.54564260228186,99.45876437471578,95.83669802208227
401168176,2523,221,57,71,2,84.68755862689153,114.63123571708832,2,100.50438435826405,102.54564260228186,88.25292383585311,116.02456329687828,106.60666239099544,98.7974743234348
401168187,221,277,53,68,3,106.60666239099544,100.15831315278001,1,116.12434128555647,103.77068795730578,100.90656737764644,101.99999523702256,111.82469138765333,99.96531181157795
401168196,221,2405,63,50,4,100.90656737764644,101.99999523702255,4,87.45240113253392,118.3255436309218,101.27520986649722,97.90948505023714,86.27140976664626,90.51187687040722
401168207,221,2029,66,41,5,101.27520986649722,97.90948505023715,4,73.75565632406679,109.97671002994399,102.60943648601015,92.90563994824451,72.58180794690969,80.86063897596839
401168217,2306,221,59,63,4,96.97553038045649,79.55998110640539,6,102.60943648601015,92.90563994824451,95.40917019320133,82.68545930879681,101.5491415763462,100.6857640514631
401186215,221,77,72,59,7,101.5491415763462,92.36822416194968,5,103.28235873555585,95.036757890521,102.0358482705517,91.62276022620149,100.46938439229056,103.64243146796156
401168237,221,164,71,60,8,102.03584827055168,91.62276022620149,7,111.33660864322361,87.40102873968367,102.33348437643706,91.27480782768959,108.48093114276996,110.50885421576066
401168257,221,2459,59,50,10,100.02402090060157,93.17186264395815,9,97.97874342395471,96.48963871736947,99.8809451366671,92.28645352049526,96.52410531014587,98.02588783129147
401168286,221,2099,87,79,12,100.99121245221174,90.92483988843897,11,99.61280653062902,99.89750128360373,102.63296755694789,92.47561549055618,100.56881621274016,101.50624172089175
401168576,221,154,65,69,13,102.63296755694789,92.47561549055618,12,103.26535397430169,100.5259254739253,102.60155881087941,93.61893296950245,103.66663906826342,103.18288406181613
401168539,183,221,69,61,19,111.3953611821951,100.3903382860964,19,102.65305999514756,95.15641084799292,111.01012244812469,99.95424584755098,102.10383147114958,102.70493632042951
401168553,259,221,67,57,24,105.97422398015763,98.38180148702381,25,102.3058750245409,98.82559027576724,105.96374345439165,98.04390018435026,101.83004402052721,102.43688794036653
401168487,221,258,56,59,27,101.75757183730082,99.94759095298099,25,96.38808723774297,87.88879783312356,101.28306186319216,99.7069922079595,96.2658848859982,96.08359513483971
